,name,image_url,review_count,categories,rating,Address,Postal Code,latitude,longitude,Number
29,28 Hong Kong Street,https://s3-media2.fl.yelpcdn.com/bphoto/NG509l-F6LP36263Z4OpaQ/o.jpg,72,bars,4,28 HongKong Street,59667,1.287630876,103.8469577,6583180328
30,328 Katong Laksa,https://s3-media2.fl.yelpcdn.com/bphoto/KZn7vR-8IEX67DyLjsZUpA/o.jpg,88,singaporean,4,51 East Coast Rd,428770,1.3051,103.90318,6597328163
31,Liao Fan Hawker Chan,https://s3-media2.fl.yelpcdn.com/bphoto/XD1KEMzPT7ErS8USqNXWOA/o.jpg,60,cantonese,4,335 Smith St,50335,1.282594,103.84309,
32,National Orchid Garden,https://s3-media2.fl.yelpcdn.com/bphoto/jPN-da8WTE1U0ymOHUxevg/o.jpg,29,gardens,4.5,1 Cluny Rd,259569,1.311716,103.814891,
33,Tom's Palette,https://s3-media3.fl.yelpcdn.com/bphoto/VPDXRGb-2rbrVGNc8J4wPQ/o.jpg,41,icecream,4.5,51 Middle Road,188959,1.2972901,103.8552318,
34,Common Man Coffee Roasters,https://s3-media2.fl.yelpcdn.com/bphoto/BozNK44LP8lqypolBmew2w/o.jpg,86,coffeeroasteries,4,22 Martin Rd,235098,1.29186,103.83842,6568364695
35,Wee Nam Kee Chicken Rice,https://s3-media2.fl.yelpcdn.com/bphoto/N7d5snBlYA_G4M7PwmtWIw/o.jpg,47,chickenshop,4.5,101 Thomson Rd,307591,1.317058,103.843868,6562556396
36,ArtScience Museum,https://s3-media3.fl.yelpcdn.com/bphoto/qWwNSLsMtgxaOvfbc-KT4w/o.jpg,55,museums,4,6 Bayfront Ave,18974,1.2862737,103.8592661,6566888868
37,The Sushi Bar,https://s3-media4.fl.yelpcdn.com/bphoto/oBa_b3RtwRjE2jOUuF644g/o.jpg,40,sushi,4.5,14 Scotts Rd,228213,1.30691,103.83354,6596536464
38,S.E.A. Aquarium,https://s3-media2.fl.yelpcdn.com/bphoto/W7cLMiLr39rmHpc2t72nKw/o.jpg,43,aquariums,4.5,24 Sentosa Gateway,98137,1.2567299,103.8237,
39,Artichoke Cafe & Bar,https://s3-media2.fl.yelpcdn.com/bphoto/fRIlGu1AoMnGUhi_QANxuA/o.jpg,71,bars,4,161 Middle Rd,188977,1.299550953,103.8520153,6563366949
40,Swee Choon Tim Sum,https://s3-media4.fl.yelpcdn.com/bphoto/U5G3ErM3oHn5ws56hxwUEQ/o.jpg,76,dimsum,4,183/185/187/189/191/193 Jalan Besar,208882,1.308131166,103.8568643,6562257788
41,Din Tai Fung,https://s3-media3.fl.yelpcdn.com/bphoto/h3y0_XZRgvkn9PI2g1kbeQ/o.jpg,60,shanghainese,4,8a Marina Boulevard,18981,1.2807892,103.8535862,6566347877
42,Din Tai Fung,https://s3-media3.fl.yelpcdn.com/bphoto/2ujdaEce6jYB-r1Hw1YZIw/o.jpg,50,shanghainese,4,252 North Bridge Road,179103,1.293975452,103.8541749,6563366369
43,Saveur,https://s3-media3.fl.yelpcdn.com/bphoto/8TSeCuNx2557jguRPJm1yQ/o.jpg,69,french,4,5 Purvis St,188584,1.29695,103.8550491,6563333121
44,National Kitchen By Violet Oon,https://s3-media1.fl.yelpcdn.com/bphoto/G2xYewOZsMsguentS_j7tA/o.jpg,39,asianfusion,4.5,1 St Andrew's Rd,178957,1.290618,103.851938,6598349935
45,FOC,https://s3-media2.fl.yelpcdn.com/bphoto/-R5n8Iv9tuuEenvdj5-VKw/o.jpg,43,tapasmallplates,4.5,40 Hongkong Street,59679,1.28731,103.84742,6561004040
46,Long Beach Seafood,https://s3-media1.fl.yelpcdn.com/bphoto/kweMyadYLsKmP3vNQ3XrZw/o.jpg,70,seafood,4,25 Dempsey Road,249670,1.30602,103.81196,6563232222
47,Two Men Bagel House,https://s3-media1.fl.yelpcdn.com/bphoto/ZKdLDvsoEm8ePW9qj5fqaw/o.jpg,22,breakfast_brunch,5,103 Irrawaddy Rd,329566,1.32059,103.84322,6562516601
48,Hainanese Delicacy Chicken Rice,https://s3-media4.fl.yelpcdn.com/bphoto/-kiR85TeeIryfwD6HCo4gw/o.jpg,40,chickenshop,4.5,14 Scotts Rd,228213,1.306978987,103.8332463,6567340639
49,The Good Beer Company,https://s3-media4.fl.yelpcdn.com/bphoto/xwMALcDkkFHJzLob9PW3hw/o.jpg,32,beerbar,4.5,2 Science Park Dr,118222,1.291760601,103.7840655,6594302750
50,Bar Stories,https://s3-media2.fl.yelpcdn.com/bphoto/E_hHtZ7aDN8jdLb0TqGtZQ/o.jpg,43,cocktailbars,4.5,55/57A Haji Lane,189248,1.30126,103.8586807,6562980838
51,Taste Paradise,https://s3-media3.fl.yelpcdn.com/bphoto/o4UDdvFEXWIw_CB9li-Tmw/o.jpg,29,dimsum,4.5,2 Orchard Turn,238801,1.304235,103.832011,6565099660
52,Corner House,https://s3-media4.fl.yelpcdn.com/bphoto/gFkghVixFQfbCtV66MZYeA/o.jpg,29,modern_european,4.5,1 Cluny Rd,259569,1.315144248,103.8153747,6564691000
53,Chinatown,https://s3-media3.fl.yelpcdn.com/bphoto/5hR2Jyd7DF99RSyDnzF0SQ/o.jpg,52,landmarks,4,New Bridge Rd,50336,1.28816,103.846817,
54,Smith Street Taps,https://s3-media2.fl.yelpcdn.com/bphoto/eNEd0LNhnoxECQB217DSzw/o.jpg,19,beerbar,5,335 Smith St,50335,1.282573,103.843098,6594302750
55,StraitsKitchen,https://s3-media3.fl.yelpcdn.com/bphoto/KJ9-P_VImROY5GTPJtkMiA/o.jpg,54,chinese,4,10 Scotts Rd,228211,1.3064382,103.83333,6567381234
56,The Auld Alliance,https://s3-media3.fl.yelpcdn.com/bphoto/zn-OSJvcvEE4OfLJp-f_HA/o.jpg,22,lounges,4.5,9 Bras Basah Rd,189559,1.2984927,103.8492521,6563372201
57,National Museum of Singapore,https://s3-media1.fl.yelpcdn.com/bphoto/fZR4dd3BXCSlrIDom7XZIA/o.jpg,47,museums,4,93 Stamford Rd,178897,1.29682,103.8487701,6563323659
58,Maison Ikkoku Restaurant & Bar,https://s3-media1.fl.yelpcdn.com/bphoto/kdSVEHSeweDhwYoZNznNcg/o.jpg,73,cocktailbars,4,1st Floor,198885,1.3022606,103.8596118,6562940078
59,Jumbo Seafood,https://s3-media2.fl.yelpcdn.com/bphoto/XLmyXT07gMx4S36EYViaKQ/o.jpg,73,seafood,4,Blk 1206 East Coast Parkway,449883,1.30532,103.93064,6564423435
60,MTR 1924,https://s3-media1.fl.yelpcdn.com/bphoto/v4K6FzbZ9u2Wpz5yyl16qg/o.jpg,35,indpak,4.5,438 Serangoon Rd,218133,1.31291,103.85648,6562965800
61,Odette,https://s3-media2.fl.yelpcdn.com/bphoto/AwRun6KKwKh-r37Rwmz_kg/o.jpg,24,french,4.5,1 Saint Andrew's Rd,178957,1.289744,103.851438,6563850498
62,Operation Dagger,https://s3-media4.fl.yelpcdn.com/bphoto/V_3OR4E3FwIhOBYrGMEKEg/o.jpg,36,cocktailbars,4.5,7 Ann Siang Hill,69689,1.2815,103.8457565,6564384057
63,Man Man Japanese Unagi,https://s3-media1.fl.yelpcdn.com/bphoto/O7IShQvGWku0u6y9uTohzA/o.jpg,20,japanese,5,1 Keong Saik Rd,89109,1.27908,103.84139,6562220678
64,Tiong Bahru Bakery,https://s3-media4.fl.yelpcdn.com/bphoto/RfwcH7BQ4rnFkepV5IojUQ/o.jpg,70,cafes,4,56 Eng Hoon St,160056,1.28428,103.83383,6562203430
65,Zhong Guo La Mian Xiao Long Bao,https://s3-media3.fl.yelpcdn.com/bphoto/9eg43-cvcykPeufa1sLoIQ/o.jpg,30,shanghainese,4.5,Blk 335 Smith St,51335,1.28218,103.84317,
66,Killiney Kopitiam,https://s3-media4.fl.yelpcdn.com/bphoto/1iXwlxT7ESULYVh_YsKPOg/o.jpg,49,breakfast_brunch,4,67 Killiney Road,239525,1.29888,103.8394012,6567349648
67,Colony,https://s3-media2.fl.yelpcdn.com/bphoto/hcoqHsOLOE8G4iqFh1RwNA/o.jpg,26,indpak,4.5,7 Raffles Avenue,39799,1.29047,103.86005,6564345288
68,Hai Di Lao,https://s3-media3.fl.yelpcdn.com/bphoto/7MjbhIIysviniQKS94J9Zg/o.jpg,43,hotpot,4,3D River Valley Rd,179023,1.289833,103.845535,6563378626
69,Tim Ho Wan,https://s3-media2.fl.yelpcdn.com/bphoto/L_YN4BIaEEpuNEeEAzXv-g/o.jpg,32,dimsum,4.5,1 Raffles Link,39393,1.291329,103.855213,6562222000
70,Clinton Street Baking Company & Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/zaf5eKEmdo1Tp_hxGWutnQ/o.jpg,72,tradamerican,4,31 Purvis St,188608,1.296450419,103.8551512,6566844845
71,Ya Kun Kaya Toast,https://s3-media3.fl.yelpcdn.com/bphoto/lbZ4VpInLWacQW_zQS0oGQ/o.jpg,43,singaporean,4,18 China Street,49560,1.28298,103.84784,6564383638
72,Jumbo Seafood,https://s3-media3.fl.yelpcdn.com/bphoto/DI-JIwwBm1VAs7fHIzIdMw/o.jpg,73,seafood,3.5,30 Merchant Rd,58282,1.289014,103.844723,6565323435
73,Jaan,https://s3-media2.fl.yelpcdn.com/bphoto/rbPhCnQilNMFbHdDoAHzhQ/o.jpg,31,french,4.5,2 Stamford Rd,178882,1.29317,103.853353,6564315670
74,Keisuke Tonkotsu King,https://s3-media3.fl.yelpcdn.com/bphoto/Q9WNXDHV0ifUSYjJX9JHWg/o.jpg,51,ramen,4,1 Tras Link,78867,1.276969084,103.8439,6566360855
75,Mellben Seafood,https://s3-media3.fl.yelpcdn.com/bphoto/GfAt00hnfx7MVwzn_4n1OA/o.jpg,44,seafood,4,232 Ang Mo Kio Avenue 3,560232,1.3683399,103.83722,6562856762
76,Lao Ban Soya Beancurd,https://s3-media2.fl.yelpcdn.com/bphoto/bVDeX8WtaVWsD3z9CLASMQ/o.jpg,20,desserts,4.5,1 Kadayanallur St,69184,1.280199262,103.8448614,6582998211
77,Night Safari,https://s3-media4.fl.yelpcdn.com/bphoto/T5GFvKcXvGLjykDEUfKz3g/o.jpg,89,zoos,3.5,80 Mandai Lake Rd,729826,1.402185,103.788056,6562693411
78,Chye Seng Huat Hardware,https://s3-media2.fl.yelpcdn.com/bphoto/6WqWKx94kdMeX_xdKSogbQ/o.jpg,62,coffee,3.5,150 Tyrwhitt Rd,207563,1.31149405,103.8602822,6563960609
79,Long Bar,https://s3-media4.fl.yelpcdn.com/bphoto/sHPm2Ol09z6aoB6E8hGshQ/o.jpg,123,wine_bars,3,328 North Bridge Rd,188719,1.2955861,103.8540165,6564121816
80,Little India,https://s3-media2.fl.yelpcdn.com/bphoto/IdecZeRyXIl_lCJHRDTHeQ/o.jpg,45,landmarks,4,Bukit Timah Road  60,229900,1.30686,103.84977,
81,Tong Heng,https://s3-media4.fl.yelpcdn.com/bphoto/wpcnDeVtsQz0FpbiHatHLg/o.jpg,42,bakeries,4,285 South Bridge Rd,58833,1.28156,103.84508,6562230398
82,A Noodle Story,https://s3-media3.fl.yelpcdn.com/bphoto/t9OHmhmOvYa42ltyRYVDxQ/o.jpg,28,foodstands,4.5,7 Maxwell Rd,69111,1.279114317,103.8468933,6590276289
83,Blu Kouzina,https://s3-media2.fl.yelpcdn.com/bphoto/Y95J1Oj4b82InEO62n73_g/o.jpg,24,mediterranean,4.5,10 Dempsey Rd,247700,1.30331,103.81041,6568750872
84,National Gallery Singapore,https://s3-media4.fl.yelpcdn.com/bphoto/nIAEfASUL0Aj2i_j6pT0RA/o.jpg,36,artmuseums,4,1 St Andrew's Rd,178957,1.28978,103.85121,6566909400
85,Brewerkz,https://s3-media3.fl.yelpcdn.com/bphoto/jD2SedOa7FdqGuT6l5CQtw/o.jpg,73,bars,3.5,30 Merchant Rd,58282,1.289578,103.844156,6564387438
86,Mrs Pho,https://s3-media3.fl.yelpcdn.com/bphoto/dxejKPANhZ_aNgoN4dPqUw/o.jpg,58,vietnamese,4,349 Beach Rd,199570,1.301421743,103.8617018,6562920018
87,DB Bistro Moderne,https://s3-media1.fl.yelpcdn.com/bphoto/wn64tL9mGIbGLMEKEamLjQ/o.jpg,48,modern_european,4,2 Bayfront Avenue,18972,1.28192,103.8588333,6566888525
88,Waku Ghin,https://s3-media1.fl.yelpcdn.com/bphoto/PhfFF9DLXAHWHVkIBLPb-A/o.jpg,19,asianfusion,4.5,2 Bayfront Ave,18956,1.28192,103.85883,6566888507
89,Manhattan,https://s3-media2.fl.yelpcdn.com/bphoto/C74Y4MCfhjZHPwuXTJQqMw/o.jpg,33,cocktailbars,4,1 Cuscaden Rd,249715,1.304621,103.8248563,6567253377
90,Singapore Flyer,https://s3-media2.fl.yelpcdn.com/bphoto/4YZwJvyDnOEJ3RywjqEXKQ/o.jpg,74,landmarks,3.5,30 Raffles Ave,39803,1.28937223,103.8631868,6563333311
91,Salt Grill & Sky Bar,https://s3-media2.fl.yelpcdn.com/bphoto/QuwmSgwje57DirLIV6vpBQ/o.jpg,47,modern_european,4,2 Orchard Turn,238801,1.303754,103.831649,6565925118
92,1-Altitude Gallery & Bar,https://s3-media4.fl.yelpcdn.com/bphoto/qycjiaB4VxjSj4ygIduRBA/o.jpg,68,bars,3.5,1 Raffles Pl,48616,1.28439,103.851056,6564380410
93,Potato Head Folk,https://s3-media2.fl.yelpcdn.com/bphoto/0t3xDS4R1vDSeu2bLT92tg/o.jpg,56,bars,4,36 Keong Saik Road,89143,1.28044,103.8417,6563271939
94,Song Fa Bak Kut Teh,https://s3-media1.fl.yelpcdn.com/bphoto/GQVp7Nij0es9i0W0wPRSbw/o.jpg,19,soup,4.5,176 Orchard Rd,238843,1.302407,103.839836,6567348498
95,Fat Cow,https://s3-media1.fl.yelpcdn.com/bphoto/LvOScn9lRIhNS_e3m6tY3A/o.jpg,35,japanese,4,1 Orchard Boulevard,248649,1.303152,103.823715,6567350308
96,Outram Park Fried Kway Teow Mee,https://s3-media3.fl.yelpcdn.com/bphoto/ByS6_1iGeSM2Sk7yE66n4w/o.jpg,28,singaporean,4.5,531A Upper Cross St,51531,1.285331,103.845857,6598387619
97,Usman Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/kj9PUDk9_MRrICblisAPlA/o.jpg,35,indpak,4,238 Serangoon Rd,218085,1.3096699,103.85401,6562968949
98,Mei Heong Yuen Dessert,https://s3-media3.fl.yelpcdn.com/bphoto/FnbFWCr1TetOtsnpGefiSA/o.jpg,35,desserts,4,No. 63 - 67 Temple Street,58611,1.28326,103.8432799,6562211156
99,Ramen Keisuke Tori King,https://s3-media2.fl.yelpcdn.com/bphoto/jSKiGmNhOnceQd8QRpb4-Q/o.jpg,31,ramen,4,100 Tras St,79027,1.275296,103.843668,6566046861
100,My Awesome Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/qgFsIW3jmKxp1Ousz1k-sA/o.jpg,40,cafes,4,202 Telok Ayer Street,68639,1.28016,103.8471,6562222007
