,name,image_url,review_count,categories,rating,Address,Postal Code,latitude,longitude,Number
308,Wala Wala Cafe Bar,https://s3-media4.fl.yelpcdn.com/bphoto/LjDR8EimvRGLeRn_JNKUTg/o.jpg,25,bars,4,31 Lorong Mambong,277689,1.31168,103.7944412,6564624288
309,Hua Yu Wee,https://s3-media2.fl.yelpcdn.com/bphoto/xzplGmVKPlEvbnO3ipGf_Q/o.jpg,16,chinese,4.5,462 Upper East Coast Rd,466508,1.3089499,103.9141617,6564429313
310,iO Italian Osteria,https://s3-media1.fl.yelpcdn.com/bphoto/UJsPPU6wYvp3an2usCIOzg/o.jpg,18,italian,4.5,4 Hillview Rise Hill V2,667979,1.362962442,103.7644064,6567107150
311,Din Tai Fung,https://s3-media2.fl.yelpcdn.com/bphoto/kahhxBrJYV3jPt0zK2FbcA/o.jpg,21,taiwanese,4,133 New Bridge Rd,059413,1.28516,103.8448499,6565342722
312,Smokey's BBQ,https://s3-media1.fl.yelpcdn.com/bphoto/Jete-IPq_5ASgUjfHJONJw/o.jpg,34,bbq,3.5,73 Joo Chiat Pl,427790,1.31373,103.90154,6563456914
313,The Sushi Bar,https://s3-media2.fl.yelpcdn.com/bphoto/4f1Z-ax4ArqGVmk19WNfNA/o.jpg,21,sushi,4,391B Orchard Rd,238874,1.302586,103.835019,6588183535
314,Tiong Bahru Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/iWRvzqeYLrWZHCVAIgyShw/o.jpg,19,bakeries,4,310 Orchard Rd,238864,1.304629,103.833353,6567353787
315,Lucha Loco,https://s3-media1.fl.yelpcdn.com/bphoto/hSx2ga3Van5g4K30ge0MpQ/o.jpg,44,mexican,3.5,15 Duxton Hill,089598,1.278970824,103.8432071,6562263938
316,Decker Barbecue,https://s3-media1.fl.yelpcdn.com/bphoto/157CU1_Vku6z0yUfDleXGw/o.jpg,22,bbq,4,60 Robertson Quay,238252,1.289996091,103.8393263,
317,Gyoza-Ya,https://s3-media2.fl.yelpcdn.com/bphoto/W9ZmKcVRrL6PR5DCdg0PbA/o.jpg,20,japanese,4,"260 Orchard Road, Robinsons Orchard",238855,1.302959,103.837188,6567375581
318,Rang Mahal,https://s3-media2.fl.yelpcdn.com/bphoto/yBwrx4HezGfQtprqIDxM_g/o.jpg,15,indpak,4.5,7 Raffles Blvd,039595,1.29216,103.85899,6563331788
319,Two Blur Guys,https://s3-media2.fl.yelpcdn.com/bphoto/6Beitpp6_pnbBu0K6ByEkg/o.jpg,25,cafes,4,1 Tras Link,078867,1.276856042,103.843689,6566364183
320,Sanji Kagoshima Ramen,https://s3-media2.fl.yelpcdn.com/bphoto/M5vkOF4A8kLmhRMCtkYlqA/o.jpg,8,ramen,5,Orchid Hotel,078867,1.276730586,103.8435442,6566048891
321,Dessert Bowl,https://s3-media4.fl.yelpcdn.com/bphoto/pWsqKrLwYqeFIB98U3oFVg/o.jpg,19,cafes,4,80A Serangoon Garden Way,555976,1.36435,103.8651299,6562851278
322,Fluff Bakery,https://s3-media1.fl.yelpcdn.com/bphoto/lZ4bdpzuEjcxbCBvvx0rvw/o.jpg,9,cupcakes,4.5,4 Jalan Pisang,199079,1.303051,103.858758,
323,Privé Café,https://s3-media2.fl.yelpcdn.com/bphoto/Oelu-rI3E79FuZxnGEEx1w/o.jpg,26,tradamerican,3.5,2 Keppel Bay Vista,098382,1.26392,103.81249,6567760777
324,Apiary,https://s3-media1.fl.yelpcdn.com/bphoto/PNgxDO_I5LlFp9BZO1yxPQ/o.jpg,11,desserts,4.5,84 Neil Rd,088844,1.27965,103.84218,6564937273
325,Fatboy's The Burger Bar,https://s3-media2.fl.yelpcdn.com/bphoto/hwUj8zzKoA3s_nN6WLdwRQ/o.jpg,19,burgers,4,187 Upper Thomson Rd,228213,1.306955053,103.8334775,6567373315
326,Rich & Good Cake shop,https://s3-media2.fl.yelpcdn.com/bphoto/b0OCMRx443-Axgo7tGZuwg/o.jpg,16,desserts,4,24 Kandahar Street,198887,1.302016797,103.8599405,6569084089
327,Nakhon Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/VvNGGOWGD7GvR_bC4WnsyA/o.jpg,28,thai,4,27A Lorong Liput,277738,1.310311415,103.794988,6564696862
328,Bread & Hearth,https://s3-media2.fl.yelpcdn.com/bphoto/HT_6x3TRXLgpc3vg-7ynpA/o.jpg,16,coffee,4.5,18 Keong Saik Rd,089125,1.27977,103.84152,6565347800
329,Sanpoutei Ramen,https://s3-media3.fl.yelpcdn.com/bphoto/C8irUP8vFRrWj6cWSyFsGA/o.jpg,17,ramen,4,253 Holland Ave,278983,1.311343886,103.7957403,6564637277
330,Flower Dome,https://s3-media2.fl.yelpcdn.com/bphoto/6jzRrabQvcvwuORPnknKgw/o.jpg,22,gardens,4,18 Marina Gardens Dr,018953,1.284499466,103.8646565,6564206848
331,8 Korean BBQ,https://s3-media2.fl.yelpcdn.com/bphoto/qjDtK0f8PFKXQan0DAjvFg/o.jpg,23,korean,4,6 Eu Tong Sen Street,059817,1.288706978,103.8466714,6586921188
332,Ghim Moh Market,https://s3-media2.fl.yelpcdn.com/bphoto/s0QyxITIo0Eho8GVk-Rvfw/o.jpg,15,streetvendors,4.5,20 Ghim Moh Road,,1.31111789,103.7884808,
333,Marina Barrage,https://s3-media1.fl.yelpcdn.com/bphoto/K6yRHlB_adzaTJLKWcUYfQ/o.jpg,14,landmarks,4,8 Marina Gardens Drive,018951,1.28052,103.87013,
334,Uma Uma Ramen,https://s3-media3.fl.yelpcdn.com/bphoto/S1B8mGnImuCP7ckXbqNp_Q/o.jpg,31,ramen,3.5,583 Orchard Rd,238884,1.306326446,103.8286006,6562350855
335,Boon Tong Kee,https://s3-media2.fl.yelpcdn.com/bphoto/7zHyU_HYGZokWAUPNx49VA/o.jpg,26,chinese,3.5,"399, 401 & 403 Balestier Rd",329801,1.325410359,103.8494525,6562543937
336,Maison Kayser,https://s3-media3.fl.yelpcdn.com/bphoto/NblzbuJrXEDyCQ89iwMddA/o.jpg,13,bakeries,4.5,6 Scotts Rd,228209,1.307377934,103.8324302,6566363672
337,Piedra Negra,https://s3-media3.fl.yelpcdn.com/bphoto/g7gLlyo7noIfv_ZWnXreKw/o.jpg,36,mexican,3.5,241 Beach Road,189753,1.3001699,103.8595276,6562911297
338,Wolf Burgers,https://s3-media1.fl.yelpcdn.com/bphoto/0GySFz96lbr3leF_8lhUfA/o.jpg,13,burgers,4.5,3 Temasek Boulevard,038983,1.29500977,103.8587876,
339,Lagnaa Barefoot Dining,https://s3-media3.fl.yelpcdn.com/bphoto/ZWEa3Mm_ethuhewdSu6m_Q/o.jpg,37,indpak,3.5,6 Upper Dickson Rd,207466,1.306333013,103.8521385,6562961215
340,Tonkatsu Ma Maison,https://s3-media2.fl.yelpcdn.com/bphoto/9EsXcbkeTw3wT6V6Z1NLow/o.jpg,23,tonkatsu,3.5,333A Orchard Rd,238897,1.3021,103.83665,6567334541
341,Pu Tien,https://s3-media1.fl.yelpcdn.com/bphoto/62dAPRLMXW1N0mjjOOQhog/o.jpg,13,henghwa,4,127 Kitchener Rd,208514,1.30954,103.8572998,6562956358
342,Jim Thompson,https://s3-media2.fl.yelpcdn.com/bphoto/pom9RT4To-3A5N3XExfZYQ/o.jpg,25,wine_bars,3.5,45 Minden Road,248817,1.30545,103.81555,6564756088
343,Coriander Leaf,https://s3-media1.fl.yelpcdn.com/bphoto/MpEDkxv4JjrlQ_zhC-1DMw/o.jpg,13,asianfusion,4.5,30 Victoria St,187996,1.294951911,103.8522102,6568370142
344,Lei Garden,https://s3-media3.fl.yelpcdn.com/bphoto/PLfxI79fDQEKxeGbK3Lg0Q/o.jpg,17,dimsum,4,30 Victoria St,187996,1.295327,103.852358,6563393822
345,Roland,https://s3-media2.fl.yelpcdn.com/bphoto/nmSFFSbvdOPC-a-BgxY95w/o.jpg,16,chinese,4.5,89 Marine Parade Central,440089,1.30110071,103.9065677,6564408205
346,Praelum Wine Bistro,https://s3-media3.fl.yelpcdn.com/bphoto/H601bmFOC-jJdOxeIP1FzQ/o.jpg,13,wine_bars,4.5,4 Duxton Hill,089590,1.27944,103.8430328,6562385287
347,Sin Heng Kee Porridge,https://s3-media1.fl.yelpcdn.com/bphoto/781AQ5zZIEtFKVdDSKXdwg/o.jpg,10,singaporean,5,685 Hougang Street 61,530685,1.375019772,103.8858156,
348,Carousel,https://s3-media4.fl.yelpcdn.com/bphoto/iPFyy5w3QM5XWEO020xAZQ/o.jpg,28,buffets,3.5,25 Scotts Rd,228220,1.307033,103.832035,6565897799
349,ABC Brickworks Market & Food Centre,https://s3-media3.fl.yelpcdn.com/bphoto/ziJtz_Cs9iwdHG9GSEO3GA/o.jpg,13,farmersmarket,4.5,6 Jalan Bukit Merah,150006,1.28695,103.8081131,
350,Tiong Bahru Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/-ze_ZIemkZkEjcc1NaLIbA/o.jpg,25,bakeries,3.5,252 North Bridge Road,179103,1.294154363,103.8528338,6563334160
351,Symmetry,https://s3-media2.fl.yelpcdn.com/bphoto/S-OKLuKOo7d2ZvDXVRV2CA/o.jpg,31,australian,3.5,9 Jalan Kubor,199206,1.30387,103.8592199,6562919901
352,Nassim Hill Bakery Bistro Bar,https://s3-media3.fl.yelpcdn.com/bphoto/4RqUb-ri-b6303FwnP45pg/o.jpg,35,bars,3.5,56 Tanglin Rd,247964,1.30596,103.82528,6568351128
353,O'ma Spoon,https://s3-media3.fl.yelpcdn.com/bphoto/g7h8Q0vbm5abs1i-pPJKxA/o.jpg,16,desserts,4,313 Orchard Rd,238895,1.3012586,103.8385606,6563330995
354,OverEasy,https://s3-media3.fl.yelpcdn.com/bphoto/ynJIlsuXBv9G2DqLskxe0g/o.jpg,36,bars,3.5,1 Fullerton Rd,049213,1.28563,103.8539,6564230701
355,Pantler,https://s3-media2.fl.yelpcdn.com/bphoto/lfFul46U_msqVox-RKmGng/o.jpg,16,desserts,4,198 Telok Ayer St,068637,1.2802,103.8473587,6562216223
356,Long Phung Vietnamese Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/HMIFwrf5kI7kT_K5u-6GWA/o.jpg,29,vietnamese,3.5,159 Joo Chiat Road,427436,1.31275,103.90019,6591058519
357,Brotzeit Raffles City,https://s3-media3.fl.yelpcdn.com/bphoto/kvia7PdrcQ673hPOjV3QJQ/o.jpg,24,german,4,252 North Bridge Road,179103,1.2946698,103.85303,6568831534
358,Teng Bespoke Japanese Vegetarian Dining,https://s3-media1.fl.yelpcdn.com/bphoto/Q3rHtq9BxdhGhpcaCP9J0Q/o.jpg,13,japanese,4.5,91 Bencoolen Street,189652,1.30054,103.85103,6563377050
359,Curious Palette,https://s3-media2.fl.yelpcdn.com/bphoto/zJ0QO9lJTSMKUY5YSb-RxQ/o.jpg,23,bistros,3.5,64 Prinsep Street,188667,1.29969,103.850029,6562381068
360,The Banana Leaf Apollo,https://s3-media3.fl.yelpcdn.com/bphoto/_Y6uLmPHQwMZpgrozbY8nQ/o.jpg,29,indpak,3.5,48 Serangoon Rd,217959,1.30568,103.85152,6563336111
361,PS.Cafe Petit,https://s3-media2.fl.yelpcdn.com/bphoto/X9NQ5Yt9jqf8kJr6BrTLMA/o.jpg,26,pizza,3.5,78 Guan Chuan Street,160078,1.28336,103.83098,6592267088
362,Le Cafe Confectionery & Pastry,https://s3-media3.fl.yelpcdn.com/bphoto/nKUA3pJvlk17zl4on-rtTg/o.jpg,10,bakeries,4.5,31/33 Mackenzie Rd,228686,1.30468,103.84943,6563372417
363,Marina Bay,https://s3-media3.fl.yelpcdn.com/bphoto/xKxkjblQt5F0QBYzpkszeQ/o.jpg,7,landmarks,5,45 Maxwell Rd,018956,1.284810909,103.8565808,
364,Jewel Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/HqVuUr9D6FQhV6Cvqg9S5A/o.jpg,15,coffee,4,1 Shenton Way,068803,1.27926,103.8504899,6566369452
365,Lantern,https://s3-media3.fl.yelpcdn.com/bphoto/gF-CYBNjbvG3GuGZwxoPTw/o.jpg,31,bars,3.5,80 Collyer Quay,049326,1.28421,103.8533478,6565975299
366,Hong Kong Street Family Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/NL32zt4446GpKU10XYoelA/o.jpg,13,cantonese,4.5,273 Thomson Road,307644,1.320343886,103.8421825,6562523132
367,Bosses Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/T4_Ywn7ims59UhCM20OOxQ/o.jpg,20,dimsum,4,1 Harbourfront Walk,098585,1.263507,103.821133,6563769740
368,Da Lian Traditional Noodles,https://s3-media1.fl.yelpcdn.com/bphoto/0Uq8G2ZfH6tazzJxcj71wg/o.jpg,19,noodles,4,216G Syed Alwi Rd,207799,1.30749,103.85808,6563963345
369,Alati,https://s3-media4.fl.yelpcdn.com/bphoto/ussmqcqe2AQ4qFEzqrrj9w/o.jpg,10,greek,4.5,73 Amoy St,069892,1.280220788,103.8467126,6562216124
370,Penny University,https://s3-media2.fl.yelpcdn.com/bphoto/VZqHFjf_xc5N1BwpKTG_eQ/o.jpg,30,coffee,3.5,402 East Coast Road,428997,1.308830977,103.9120215,6563459055
371,The Roti Prata House,https://s3-media2.fl.yelpcdn.com/bphoto/1iI99CZZQW4pQx5fr-AKyg/o.jpg,31,indpak,3.5,246M Upper Thomson Road,574422,1.353771659,103.8342494,6564595260
372,Salted & Hung,https://s3-media4.fl.yelpcdn.com/bphoto/u1P99nxwaaTAPfRR0gRh4g/o.jpg,14,australian,4,12 Purvis St,188591,1.296537233,103.8551941,6563583130
373,Jekyll & Hyde,https://s3-media2.fl.yelpcdn.com/bphoto/hU3HgNVM4zm4sKcdI2QjFQ/o.jpg,15,cocktailbars,4,49 Tras Street,078988,1.278078907,103.8445061,6562223349
374,Tiong Bahru Galicier Pastry,https://s3-media2.fl.yelpcdn.com/bphoto/VQCRwW0FoGjn71NEqCpamg/o.jpg,11,bakeries,4.5,55 Tiong Bahru Road,160055,1.28444,103.834137,6563241686
375,Lim Chee Guan,https://s3-media4.fl.yelpcdn.com/bphoto/OqlOIe5Uq96tFuFkV_6BMg/o.jpg,10,bbq,4.5,203 New Bridge Rd,059429,1.28405,103.8436127,6562278302
376,Neko no Niwa,https://s3-media4.fl.yelpcdn.com/bphoto/rm3tb9owjpqUPm3Y5F0TQw/o.jpg,8,cafes,5,54 Boat Quay,049843,1.28716,103.8492203,
377,Chin Chin Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/DI5NKqt96z6GQ-EMs_naFw/o.jpg,20,chinese,4,19 Purvis Street,188598,1.29644,103.85562,6563374640
378,Blu Jaz Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/5M5VQvd2IzVnySYG7dZLEQ/o.jpg,27,cafes,3.5,11 Bali Lane,189848,1.3006001,103.8589096,
379,Druggists,https://s3-media1.fl.yelpcdn.com/bphoto/IFjlj87rCIrhZq1-hrfLGA/o.jpg,16,asianfusion,4,119 Tyrwhitt Rd,207547,1.311133343,103.8598736,6563415967
380,Laurent Bernard Chocolatier,https://s3-media3.fl.yelpcdn.com/bphoto/XtjsTHxoXCm_rOKC1m9uIQ/o.jpg,22,desserts,3.5,80 Mohammad Sultan Rd,239013,1.291309287,103.8408514,6562359007
381,The Beast,https://s3-media4.fl.yelpcdn.com/bphoto/bKaU4QoR8_aJS48Uogu0xw/o.jpg,29,bars,3.5,17 Jalan Klapa,199329,1.304407489,103.859676,6562950017
382,Toast Box,https://s3-media1.fl.yelpcdn.com/bphoto/zHvL8ceKI2zMdAeToLHEKw/o.jpg,13,cafes,4,180 Kitchener Road,208539,1.311346,103.856193,6565098340
